layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L2,O75460,4142,9.5376,0,-9.76934,,-103.78034890515374,-54.10422335208084,-776129.8310838982,-707204.1490987306,-68921.18164329938,-776124.6462400218,455,0.0019375731935724616,True,2.899804977302492,2.6381909910395427
L2,O75460,6730,9.0,0,-9.70411,,-96.3923022661731,-50.99669175676643,-770817.0169616243,-707204.1490987306,-63608.68789705004,-770813.481727835,548,0.0014719319297000766,True,2.870284680150123,2.669241029206487
L2,O75460,14710,10.0,0,-9.66082,,-90.25330722196216,-49.862257422260136,-767555.8219283953,-707204.1490987306,-60347.75907584212,-767552.1958470348,433,0.0019685865845531225,True,2.826293804219681,2.6827818730633437
L2,O75460,25683,8.9586,0,-11.95574,,-99.16801248912982,-61.77477774884867,-770724.0854943523,-707204.1490987306,-63515.636063590595,-770719.6204320961,294,0.001991613069549203,True,2.8316137391952365,2.905251968435726
L2,O75460,48303,7.0757,0,-10.58237,,-97.35640816656296,-51.95449441327946,-770757.798606602,-707204.1490987306,-63549.42773443902,-770753.954511084,273,0.0019591643940657377,True,2.939154925253061,2.9208324614410026
L2,O75460,72342,9.7447,0,-10.4153,,-92.39153857047998,-74.81569459727521,-766401.2111058168,-707204.1490987306,-59193.05553077649,-766398.7255514018,406,0.0019733223598450422,True,2.9991676816604804,2.7933691558548537
L2,O75460,84980,9.0132,0,-10.7847,,-83.96440809280783,-66.84395649034795,-766890.0563137458,-707204.1490987306,-59682.26617367001,-766887.5562940809,584,0.001991081051528454,True,2.8353522497357906,2.888618881686393
L2,O75460,96586,9.6198,0,-10.87635,,-94.04675232291964,-57.56913574236065,-769564.1362256911,-707204.1490987306,-62355.908873789085,-769560.245668583,490,0.0017338056350126863,True,2.9456464375295695,2.8999103937306447
L2,O75460,100233,6.2676,0,-11.11218,,-104.65087307292029,-87.73155801813911,-773423.5300049538,-707204.1490987306,-66214.84281485427,-773421.2750825663,506,0.0019899208564311266,True,2.9029386684007012,2.86184859324329
L2,O75460,127767,8.8539,0,-10.14998,,-81.51560137112392,-39.802329528590725,-757943.514425583,-707204.1490987306,-50735.830475817114,-757938.4140698335,313,0.0019565061666071415,True,2.799938014630651,2.9333513982907915
