layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L2,P56817,9611,9.2411,-1,-7.7042,,-56.83252387537053,-42.1976352222621,-762202.2178298665,-711470.8198649128,-50728.93347346402,-762198.7934903615,523,0.0019474518485367298,True,2.788655226211952,2.789940746198949
L2,P56817,13349,8.5884,-1,-7.95742,,-55.94426029359318,-36.25215734207097,-770967.4859590462,-711470.8198649128,-59494.240121398296,-770963.1109677753,405,0.0017683502519503236,True,2.9031660396943604,2.8979484972124925
L2,P56817,17219,8.8182,-1,-8.85277,,-70.13033043953708,-39.1108916306753,-771375.1098830497,-711470.8198649128,-59901.24887917727,-771371.8087067249,754,0.0019641504622995853,True,2.798575795016953,2.7852866594410037
L2,P56817,37944,8.8097,-1,-8.33501,,-73.74464213626304,-57.441209326013485,-772903.564741394,-711470.8198649128,-61429.54700613237,-772900.1604548467,897,0.001459035207517445,True,2.766507854131007,2.8161264583598875
L2,P56817,46757,6.1586,-1,-8.05482,,-64.31228602319928,-48.48520901251313,-748354.8364596113,-711470.8198649128,-36881.2277500234,-748352.9968252621,293,0.0019579436630010605,True,2.9010722239675837,2.9029290874573563
L2,P56817,66568,8.7959,-1,-8.15579,,-65.91731786056887,-35.938922433928134,-772902.5267860255,-711470.8198649128,-61428.84847566968,-772898.0866849785,528,0.0018555966671556234,True,2.732102310654344,2.8598470269169383
L2,P56817,67242,8.7959,-1,-7.82347,,-66.38275286226703,-38.1561309389547,-771369.3656786191,-711470.8198649128,-59895.66718509138,-771366.103630734,470,0.001544880447909236,True,2.738042362891304,2.8549295114300666
L2,P56817,84180,7.4559,-1,-8.66795,,-54.347094322337526,-36.09943342260586,-759742.1720148931,-711470.8198649128,-48268.99543691694,-759738.6245190357,733,0.0013884223299100995,True,2.787888583373165,2.9055947134173237
L2,P56817,97357,8.109,-1,-9.05602,,-71.2111510689603,-42.85802193427476,-772092.66007798,-711470.8198649128,-60618.752205289114,-772088.8203244952,997,0.0017224199837073684,True,2.833341061502449,2.6056448106986534
L2,P56817,107160,7.9788,-1,-8.61655,,-56.73111553204505,-37.74031347585282,-764491.690658069,-711470.8198649128,-53018.410699148524,-764488.2214013875,647,0.001937291701324284,True,2.996805599415803,2.802227628425606
