mol_id,name,formal_charge,n_atoms,source_index,label,paff,smina_affinity_kcal_mol,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
93588,B4RNM9:93588,0,32,3.0,1.0,8.0,-8.16784,-36.65917473378363,-35981.19420676553,-35982.531329207835,-35983.360182546225,30.834776036114203,19.11381205449488,13.289413356825452,624,111,5,0.0018674401799216866,True,,16.0
89845,B4RNM9:89845,0,35,7.0,1.0,8.0,-8.28413,-36.37014009662662,-39075.721065658494,-39077.53012279018,-39083.034379465484,41.71784851357045,126.93117433284311,132.27888274978693,640,29,7,0.0019541552755981684,True,,54.0
37851,B4RNM9:37851,0,34,11.0,1.0,8.0,-8.48264,-29.77467775648528,-38044.0118488828,-38046.14124717962,-38046.55016092706,49.10509127425624,9.429775031359368,28.760188549130326,423,128,6,0.0019366869237273932,True,,31.0
132853,B4RNM9:132853,0,40,15.0,1.0,8.0,-8.60443,-47.897741729466624,-45739.06489451854,-45741.18844102976,-45741.31512505575,48.97014589250045,2.921403040770587,3.9938072038044106,530,176,7,0.0018653006991371512,True,,7.0
38849,B4RNM9:38849,0,37,19.0,1.0,8.0,-7.92268,-48.42167730790824,-52428.54768769938,-52430.441299437756,-52431.29621375214,43.667724065493005,19.714792437904666,14.96083919548943,572,88,7,0.0017420245567336679,True,,17.0
75565,B4RNM9:75565,0,41,23.0,1.0,8.0,-8.52544,-10.406300042400083,-45761.290421035825,-45763.98244018865,-45764.458804298265,62.07943643468885,10.985217334549038,62.6583537268378,677,53,6,0.0017327164532616735,True,,44.0
2496,B4RNM9:2496,0,37,27.0,1.0,8.0,-9.01497,-59.76975767776648,-39570.462252225516,-39572.99451281158,-39573.52394679375,58.39531636451522,12.209037668993368,10.834596355742107,665,138,7,0.001956160180270672,True,,13.0
117325,B4RNM9:117325,0,40,31.0,1.0,8.0,-8.73152,-56.262665936740525,-46294.32945949031,-46296.6448554512,-46298.85967569734,53.39429930292296,51.07496822232156,48.20660158850399,1000,84,8,0.004947335459291935,False,,41.0
80795,B4RNM9:80795,0,33,35.0,1.0,8.0,-8.52265,-26.76980509571573,-35996.65638987941,-35997.99743757881,-35999.49679609681,30.92529461505976,34.57602881971105,38.73151833905508,417,48,6,0.0019602756947278976,True,,37.0
37071,B4RNM9:37071,0,44,39.0,1.0,8.0,-9.64377,-59.9501559635168,-50429.732287169565,-50432.66753924212,-50434.668351111475,67.6885208139979,46.13981781341388,53.878182663894975,526,46,8,0.0018200029153376818,True,,42.0
136414,B4RNM9:136414,0,41,43.0,1.0,8.0,-8.95921,-32.682217753267,-45761.72202169591,-45764.6524916722,-45764.93300508215,67.57824305435896,6.468792907384342,41.36481820847631,649,106,6,0.001960316440090537,True,,39.0
104488,B4RNM9:104488,0,32,47.0,1.0,8.0,-8.50031,-29.862722024338986,-35980.521291709185,-35981.90394706489,-35983.51408645904,31.884789963572,37.13069651275727,39.15276445199028,745,42,5,0.00195869873277843,True,,38.0
82534,B4RNM9:82534,0,33,51.0,1.0,8.0,-8.08159,-19.88445242782472,-37570.21576783467,-37571.75368923405,-37577.56311464689,35.465309990138195,133.96853260114807,149.54939016346154,1000,37,7,0.0039555709809064865,False,,56.0
111873,B4RNM9:111873,0,36,55.0,1.0,8.0,-8.41119,-52.98747864733587,-38534.597925865484,-38536.305694384784,-38537.40201962478,39.382077622939846,25.281860634844378,11.676459610448354,912,80,7,0.001961706904694438,True,,14.0
71360,B4RNM9:71360,0,157,59.0,0.0,,-4.13627,-95.70902362754624,-176115.33570039424,-176130.52651995976,-176136.41459429098,350.3086211771362,135.78221974530138,390.38181729489133,1000,139,36,0.026703571900725365,False,,62.0
106823,B4RNM9:106823,0,32,63.0,0.0,,-8.93478,-33.885217427992615,-36088.96534621285,-36090.40872335587,-36090.604970448105,33.28506764422249,4.525565457155208,3.9254156733850802,612,141,5,0.0019276189850643277,True,,6.0
109201,B4RNM9:109201,0,55,67.0,0.0,,-7.72881,-49.06923764068607,-68719.28734810722,-68721.40273524803,-68729.13912966789,48.78198634108432,178.40549355568544,178.1182422560837,1000,158,10,0.02405075542628765,False,,58.0
