layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L3,Q00961,7921,6.0269,0,-6.19951,,-32.75980881683953,-22.38455242416357,-462057.20819635445,-345764.8690074061,-116290.91858918386,-462055.9504930643,485,0.0014236068818718195,True,2.9428074355382243,2.978220085936031
L3,Q00961,43719,6.2007,0,-6.327,,-34.11236235871806,-24.873695914925765,-460618.0061052214,-345764.8690074061,-114851.65784577803,-460616.8803412991,516,0.001646362361498177,True,2.9335522614213927,2.999251823438255
L3,Q00961,53381,6.6778,0,-5.29949,,-58.697023036855995,-13.31499058626642,-356618.77118658234,-345764.8690074061,-10851.356835350567,-356616.87797233823,175,0.0017638845602050424,True,2.7421161878040308,2.6678434741093233
L3,Q00961,69000,6.6383,0,-5.51358,,-73.81312431441965,-32.55786080535779,-383157.9491736998,-345764.8690074061,-37389.879326276474,-383156.06624643074,529,0.001396107254549861,True,2.8936134077989544,2.4657895195331894
L3,Q00961,88925,7.4685,0,-5.59489,,-73.82243247559377,-29.217519831070785,-453213.2480980379,-345764.8690074061,-107445.17784697453,-453211.13809072087,539,0.0019286652095615864,True,2.8878429444928044,2.4736211527874525
L3,Q00961,89763,7.0555,0,-6.38453,,-42.56581956631435,-26.832272970423656,-395212.37404542085,-345764.8690074061,-49445.65920937792,-395210.6984559753,421,0.0019051607232540846,True,2.9332404883904264,2.926511133741349
L3,Q00961,93521,6.0605,0,-6.07706,,-48.966532229991444,-39.822703235448685,-459549.19319208234,-345764.8690074061,-113782.20079486824,-459548.0543465977,507,0.0016776673728600144,True,3.1035130686761425,3.198345164832441
L3,Q00961,103070,7.0555,0,-5.62835,,-30.76859284194646,-11.679679509594786,-389625.38807704696,-345764.8690074061,-43859.18481717347,-389623.91600596893,396,0.001915028435178101,True,2.7953470438283556,2.7736482950228663
L3,Q00961,108874,7.6021,0,-5.32367,,-66.98994080315568,-15.958780737120428,-451582.5226276662,-345764.8690074061,-105814.74866148393,-451580.0653956193,634,0.0015871206996962428,True,3.056383826624724,2.5181137163826675
L3,Q00961,135025,6.0315,0,-5.63047,,-71.91558618674173,-25.35991765103856,-385857.27293262194,-345764.8690074061,-40089.28537023981,-385855.1034504328,845,0.0019723668228834867,True,2.905696990008992,2.466381201593852
