mol_id,source_index,label,paff,formal_charge,smina_affinity_kcal_mol,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_eV,aimnet_interaction_kcal_mol,aimnet_score,aimnet_rank,smina_rank
137158,249,0,,0,-8.04069,-245896.31893856698,-194591.70549166933,-51301.497831366345,-3.1156155313074123,-71.84780098153401,71.84780098153401,1.0,31.0
124923,57,1,8.0,0,-8.59679,-234109.07701099594,-194591.70549166933,-39514.31780063492,-3.0537186916917562,-70.42042595101303,70.42042595101303,2.0,12.0
20531,33,1,8.0,0,-9.1976,-242891.13740222776,-194591.70549166933,-48296.51026243853,-2.9216481198964175,-67.37480621310941,67.37480621310941,3.0,2.0
55554,157,0,,0,-7.01734,-241911.152949992,-194591.70549166933,-47316.57599591033,-2.8714624123531394,-66.2174963038942,66.2174963038942,4.0,56.0
120769,245,0,,1,-8.22879,-238807.57601900908,-194591.70549166933,-44213.06896907775,-2.801558261999162,-64.60546830109752,64.60546830109752,5.0,23.0
12320,201,0,,0,-7.47717,-254040.86025865137,-194591.70549166933,-59446.35532854389,-2.7994384381527198,-64.55658400189415,64.55658400189415,6.0,47.0
37105,173,0,,0,-7.46455,-257469.52152847958,-194591.70549166933,-62875.196416727005,-2.619620083249174,-60.40987422781771,60.40987422781771,7.0,48.0
128703,37,1,8.0,0,-9.09287,-245969.10845798926,-194591.70549166933,-51374.865548319336,-2.5374180005965172,-58.51424916902962,58.51424916902962,8.0,5.0
65283,121,0,,0,-8.1683,-240187.89664156828,-194591.70549166933,-45593.72117822544,-2.469971673512191,-56.95889991730194,56.95889991730194,9.0,27.0
142603,161,0,,0,-7.59333,-247771.83189955386,-194591.70549166933,-53177.70886284356,-2.417545040967525,-55.749913049907384,55.749913049907384,10.0,45.0
8929,1,1,8.0,0,-8.35427,-231011.99933153574,-194591.70549166933,-36418.068189661724,-2.225650204687554,-51.32471299942431,51.32471299942431,11.0,20.0
39406,169,0,,0,-8.22315,-233042.32094298225,-194591.70549166933,-38448.41519232973,-2.200258983182721,-50.739177521434264,50.739177521434264,12.0,24.0
59001,177,0,,0,-6.66088,-216635.70802279445,-194591.70549166933,-22041.813272638552,-2.189258486570907,-50.48550004315696,50.48550004315696,13.0,59.0
104129,229,0,,0,-8.93249,-245862.3069369377,-194591.70549166933,-51268.49188811513,-2.109557153242349,-48.64754363376965,48.64754363376965,14.0,6.0
55571,197,0,,0,-8.76772,-244794.43404650202,-194591.70549166933,-50200.65612734243,-2.072427490260452,-47.79131326464085,47.79131326464085,15.0,8.0
27919,53,1,8.0,0,-8.10232,-232584.94208971696,-194591.70549166933,-37991.21792655008,-2.0186714975498035,-46.55167062355453,46.55167062355453,16.0,29.0
70897,149,0,,0,-7.40048,-253001.87710983248,-194591.70549166933,-58408.16338612762,-2.0082320355286356,-46.31093091028946,46.31093091028946,17.0,49.0
12842,41,1,8.0,0,-8.68793,-240351.21535063887,-194591.70549166933,-45757.6178927128,-1.8919662567423075,-43.62977835752317,43.62977835752317,18.0,11.0
82954,181,0,,0,-9.12761,-293750.18801720155,-194591.70549166933,-99156.62208569108,-1.86043984114076,-42.90276194261571,42.90276194261571,19.0,4.0
142222,225,0,,0,-6.9497,-236743.1138344329,-194591.70549166933,-42149.61435323216,-1.7939895314193564,-41.370381396925836,41.370381396925836,20.0,57.0
119287,237,0,,0,-7.52998,-237619.35101896795,-194591.70549166933,-43025.85424501166,-1.7912822869620868,-41.307950856629795,41.307950856629795,21.0,46.0
50514,29,1,8.0,0,-8.85267,-232583.68777235254,-194591.70549166933,-37990.20342692558,-1.7788537576270755,-41.02134216143551,41.02134216143551,22.0,7.0
42233,217,0,,0,-7.96399,-235728.88617807665,-194591.70549166933,-41135.41586166677,-1.7648247405450093,-40.697825341997955,40.697825341997955,23.0,34.0
90866,209,0,,0,-9.15655,-232494.34872083945,-194591.70549166933,-37900.8863818741,-1.7568472960192594,-40.51386110094579,40.51386110094579,24.0,3.0
27333,189,0,,0,-6.7659,-236641.15516958424,-194591.70549166933,-42047.69753846089,-1.7521394540162873,-40.40529568525726,40.40529568525726,25.0,58.0
99755,153,0,,0,-7.1245,-373144.3664432643,-194591.70549166933,-178550.9111563346,-1.749795260373503,-40.351237295633595,40.351237295633595,26.0,54.0
43002,165,0,,0,-8.28303,-242671.55242993074,-194591.70549166933,-48078.13883164765,-1.708106613761629,-39.389874266446704,39.389874266446704,27.0,21.0
144881,193,0,,0,-8.19771,-244771.41490305137,-194591.70549166933,-50178.023376289115,-1.686035092920065,-38.880892904385306,38.880892904385306,28.0,25.0
101552,213,0,,0,-8.01861,-235786.01353883487,-194591.70549166933,-41192.63479288978,-1.673254275759973,-38.58616025895061,38.58616025895061,29.0,32.0
66263,13,1,8.0,0,-8.36007,-234635.5726755844,-194591.70549166933,-40042.19411164579,-1.673072269288241,-38.581963090003754,38.581963090003754,30.0,19.0
35053,117,0,,0,-7.63298,-248124.33746516437,-194591.70549166933,-53530.97645320938,-1.6555202856543474,-38.17720473189211,38.17720473189211,31.0,42.0
109965,105,0,,0,-8.04339,-247167.32658586625,-194591.70549166933,-52573.96750734812,-1.6535868487990228,-38.132618618812415,38.132618618812415,32.0,30.0
79974,9,1,8.0,0,-8.27082,-233616.29170595232,-194591.70549166933,-39022.94371831452,-1.6424959684663918,-37.87685684241811,37.87685684241811,33.0,22.0
67081,65,0,,0,-7.71674,-252529.98435822228,-194591.70549166933,-57936.63864564481,-1.6402209081425099,-37.824392705001685,37.824392705001685,34.0,40.0
22829,205,0,,0,-7.61774,-250185.15362670543,-194591.70549166933,-55591.8084467437,-1.6396882924018428,-37.81211029423869,37.81211029423869,35.0,44.0
122178,25,1,8.0,0,-8.52338,-242333.6333608783,-194591.70549166933,-47740.29288564762,-1.634983561350964,-37.703616618809704,37.703616618809704,36.0,13.0
67029,89,0,,0,-7.24458,-251365.5200303985,-194591.70549166933,-56772.25372594139,-1.560812787785835,-35.993197947377034,35.993197947377034,37.0,53.0
62599,49,1,8.0,0,-8.18193,-231549.11659063151,-194591.70549166933,-36955.85642664932,-1.554672312864568,-35.85159523175244,35.85159523175244,38.0,26.0
40137,109,0,,0,-7.06686,-262142.3318762191,-194591.70549166933,-67549.13793639599,-1.4884481537883403,-34.32442984383257,34.32442984383257,39.0,55.0
41583,45,1,8.0,0,-8.46436,-232582.73464399425,-194591.70549166933,-37989.62410047623,-1.4050518486910732,-32.40126536124014,32.40126536124014,40.0,17.0
55324,73,0,,0,-7.92625,-240520.29730435828,-194591.70549166933,-45927.18683577391,-1.4049769150369684,-32.39953735012554,32.39953735012554,41.0,36.0
22794,85,0,,0,-7.85829,-252599.70596542326,-194591.70549166933,-58006.60817199252,-1.3923017614069977,-32.10724136358115,32.10724136358115,42.0,38.0
29176,5,1,8.0,0,-8.1104,-233615.68884518385,-194591.70549166933,-39022.6970287622,-1.2863247523127939,-29.663353476418322,29.663353476418322,43.0,28.0
145581,129,0,,0,-7.27428,-247656.41748440533,-194591.70549166933,-53063.5353391479,-1.1766535881033633,-27.134276348527077,27.134276348527077,44.0,52.0
50284,93,0,,0,-9.76281,-245635.97572249023,-194591.70549166933,-51043.094505208785,-1.1757256121127284,-27.112876713809378,27.112876713809378,45.0,1.0
59447,101,0,,0,-8.43923,-302311.4684985781,-194591.70549166933,-107718.59279817592,-1.1702087328740163,-26.985654456249307,26.985654456249307,46.0,18.0
113218,81,0,,0,-6.30782,-252277.06745767826,-194591.70549166933,-57684.213182233405,-1.148783775526681,-26.49158320257211,26.49158320257211,47.0,63.0
123481,113,0,,0,-6.5334,-227067.70968402005,-194591.70549166933,-32474.863188675008,-1.141003675715183,-26.31216983874207,26.31216983874207,48.0,61.0
25560,21,1,8.0,0,-8.49918,-234652.69704741024,-194591.70549166933,-40059.887200007746,-1.1043557331649936,-25.46704820666965,25.46704820666965,49.0,15.0
56045,185,0,,0,-6.46773,-225863.99694634174,-194591.70549166933,-31271.218402122566,-1.073052549840213,-24.745179650357912,24.745179650357912,50.0,62.0
