mol_id,source_index,label,paff,formal_charge,smina_affinity_kcal_mol,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_eV,aimnet_interaction_kcal_mol,aimnet_score,aimnet_rank,smina_rank
14065,172,0,,0,-9.02828,-246330.4504087943,-194591.70550220693,-51736.102497758955,-2.642408828425687,-60.935395175960466,60.935395175960466,1.0,6.0
132725,40,1,8.0,0,-9.01985,-243917.85275935478,-194591.70550220693,-49323.75422276397,-2.393034383880149,-55.18468386978405,55.18468386978405,2.0,7.0
14741,208,0,,0,-7.69037,-243956.01529786523,-194591.70550220693,-49362.01108895327,-2.2987067050344194,-53.00943592001083,53.00943592001083,3.0,40.0
14426,92,0,,0,-7.61349,-250838.74738563906,-194591.70550220693,-56244.7604123826,-2.2814710495295003,-52.611972261847576,52.611972261847576,4.0,44.0
136961,56,1,8.0,0,-8.42537,-232043.04986400373,-194591.70550220693,-37449.080979407314,-2.263382389486651,-52.19483785173764,52.19483785173764,5.0,22.0
8457,0,1,8.0,0,-8.93211,-230540.363128376,-194591.70550220693,-35946.459302747186,-2.19832342187874,-50.69454241740472,50.69454241740472,6.0,9.0
30513,236,0,,0,-7.35971,-253518.43159846935,-194591.70550220693,-58924.56156933847,-2.1645269239597837,-49.91517666063721,49.91517666063721,7.0,49.0
107578,136,0,,0,-7.16556,-344498.92273174034,-194591.70550220693,-149905.05484688177,-2.162382651644293,-49.86572856634397,49.86572856634397,8.0,52.0
85176,60,0,,0,-8.58395,-230492.11804154838,-194591.70550220693,-35898.30047735726,-2.112061984196771,-48.70530640780171,48.70530640780171,9.0,15.0
110066,216,0,,0,-7.52245,-251183.6256943973,-194591.70550220693,-56589.86113350763,-2.0590586827602237,-47.483021239843495,47.483021239843495,10.0,45.0
108737,148,0,,0,-8.42297,-331109.52444813726,-194591.70550220693,-136515.83758537166,-1.9813605586823542,-45.69125993319641,45.69125993319641,11.0,23.0
32175,160,0,,0,-8.4228,-247459.07947992146,-194591.70550220693,-52865.44185430359,-1.9321234109447687,-44.55582433275057,44.55582433275057,12.0,24.0
10489,104,0,,0,-7.09521,-244809.02077896777,-194591.70550220693,-50215.422733682644,-1.8925430781964678,-43.64308017625656,43.64308017625656,13.0,53.0
88371,72,0,,0,-8.55173,-257886.178709633,-194591.70550220693,-63292.611405672505,-1.8618017535773106,-42.9341683894999,42.9341683894999,14.0,17.0
34432,4,1,8.0,0,-8.02548,-233615.91763193288,-194591.70550220693,-39022.36609662688,-1.8460330990783405,-42.570534578201894,42.570534578201894,15.0,36.0
89373,52,1,8.0,0,-8.26293,-232112.9874453016,-194591.70550220693,-37519.43968812884,-1.842254965842585,-42.48340875600831,42.48340875600831,16.0,27.0
10068,8,1,8.0,0,-8.3024,-233616.68242912684,-194591.70550220693,-39023.157575637466,-1.8193512824509526,-41.95523726965821,41.95523726965821,17.0,26.0
33773,248,0,,0,-7.07463,-306856.95204980066,-194591.70550220693,-112263.44671026306,-1.7998373306763824,-41.505234851396345,41.505234851396345,18.0,54.0
111294,68,0,,0,-8.5304,-234061.9748367473,-194591.70550220693,-39468.47830773165,-1.7910268087289296,-41.30205938861439,41.30205938861439,19.0,18.0
7963,192,0,,0,-6.94157,-251803.91929738427,-194591.70550220693,-57210.440377641185,-1.7734175361620146,-40.89597991632264,40.89597991632264,20.0,60.0
61959,156,0,,0,-7.42223,-227978.37831768792,-194591.70550220693,-33384.90997457322,-1.7628409077806282,-40.65207707164699,40.65207707164699,21.0,48.0
72284,80,0,,0,-8.89559,-242507.58202390722,-194591.70550220693,-47914.119666057355,-1.7568556429396267,-40.51405358550216,40.51405358550216,22.0,10.0
106444,48,1,8.0,0,-8.46977,-231551.3124912324,-194591.70550220693,-36957.902286511504,-1.7047025139836478,-39.311373860696364,39.311373860696364,23.0,21.0
29349,112,0,,0,-7.02994,-236099.18290103128,-194591.70550220693,-41505.814060149045,-1.6633386753092054,-38.35750108048638,38.35750108048638,24.0,57.0
74935,64,0,,0,-8.23031,-224918.1807252854,-194591.70550220693,-30324.81715534654,-1.6580677319398092,-38.23595023880393,38.23595023880393,25.0,29.0
63514,232,0,,0,-7.517,-267527.58836229803,-194591.70550220693,-72934.22851729523,-1.6543427958822576,-38.150051172682765,38.150051172682765,26.0,46.0
28387,100,0,,0,-7.86186,-230314.30629064143,-194591.70550220693,-35720.990313043905,-1.610475390596548,-37.138444774886516,37.138444774886516,27.0,37.0
29420,36,1,8.0,0,-8.15316,-229487.15433068073,-194591.70550220693,-34893.864329474796,-1.5844989990073373,-36.53941495417663,36.53941495417663,28.0,32.0
33686,164,0,,0,-8.14723,-231646.76216712702,-194591.70550220693,-37053.49057024666,-1.5660946734351455,-36.115001124028815,36.115001124028815,29.0,33.0
59285,180,0,,0,-7.00096,-249512.0051244674,-194591.70550220693,-54918.789322386416,-1.5102998740549083,-34.82834248422107,34.82834248422107,30.0,58.0
19506,184,0,,0,-8.5662,-249042.0781344826,-194591.70550220693,-54448.90438625406,-1.468246021628147,-33.85855760887194,33.85855760887194,31.0,16.0
19262,200,0,,0,-7.28342,-241805.5168266676,-194591.70550220693,-47212.400367870956,-1.4109565897088032,-32.53743192390692,32.53743192390692,32.0,50.0
49481,20,1,8.0,0,-8.66644,-233075.87360193097,-194591.70550220693,-38482.75859598556,-1.4095037384904572,-32.50392837889548,32.50392837889548,33.0,12.0
1118,224,0,,0,-9.22828,-242062.94505170922,-194591.70550220693,-47469.83177582001,-1.4077736822873703,-32.46403233507454,32.46403233507454,34.0,2.0
96363,116,0,,0,-7.62324,-267225.06402251846,-194591.70550220693,-72631.96148687278,-1.3970334387558978,-32.21635643540452,32.21635643540452,35.0,43.0
112462,44,1,8.0,0,-8.48718,-233615.60300377617,-194591.70550220693,-39022.50069996686,-1.3968016023791279,-32.21101016154914,32.21101016154914,36.0,20.0
60570,176,0,,0,-7.03141,-247508.84912893077,-194591.70550220693,-52915.763165282595,-1.3804614412511,-31.834197094296233,31.834197094296233,37.0,56.0
80302,16,1,8.0,0,-8.10519,-232582.5284465499,-194591.70550220693,-37989.45421099687,-1.3687333461057278,-31.563740795234327,31.563740795234327,38.0,34.0
72902,152,0,,0,-9.56969,-265560.89187052206,-194591.70550220693,-70967.83190603569,-1.3544622794433963,-31.234642179873678,31.234642179873678,39.0,1.0
118456,188,0,,0,-8.0943,-228641.11506768578,-194591.70550220693,-34048.14886742018,-1.2606980586715508,-29.072387881963817,29.072387881963817,40.0,35.0
144031,132,0,,0,-6.07664,-224414.42199753865,-194591.70550220693,-29821.50009195034,-1.2164033813860442,-28.050928357779558,28.050928357779558,41.0,61.0
31185,228,0,,0,-7.04673,-239263.95998185204,-194591.70550220693,-44671.04216801797,-1.2123116271395702,-27.956570263267608,27.956570263267608,42.0,55.0
130882,108,0,,0,-7.66374,-242861.41269047666,-194591.70550220693,-48268.49667892116,-1.210509348573396,-27.915008732188248,27.915008732188248,43.0,42.0
2684,240,0,,0,-3.12977,-213572.28525238385,-194591.70550220693,-18979.374270014723,-1.2054801622034574,-27.799032939355182,27.799032939355182,44.0,63.0
