layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L1,P00338,6096,9.0,1,-7.31329,,-65.09032660515975,-32.984528241010985,-469983.3164821254,-395179.91452912305,-74800.57936929428,-469979.24863030214,684,0.0014207129133865237,True,2.973636030097248,2.866985059119246
L1,P00338,37515,9.0,1,-7.06622,,-82.7277658718086,-52.63308502025981,-466214.9679238048,-395179.91452912305,-71031.46597921882,-466210.55525450525,1000,0.01263663824647665,False,2.796694696497257,2.796962127143067
L1,P00338,43836,9.0,1,-7.21428,,-50.92970766068752,-34.52803413640441,-466867.69175915903,-395179.91452912305,-71685.56870888398,-466862.4878226757,964,0.0018141992622986436,True,2.856599719513393,2.9167600511807596
L1,P00338,47131,9.0,1,-7.67474,,-90.2883603647007,-40.83013340838133,-470960.8330158002,-395179.91452912305,-75777.00321280649,-470955.85974054143,938,0.0018173239659518003,True,2.635474231425306,2.8030408911041196
L1,P00338,69006,9.0,1,-7.44617,,-74.06326792928442,-31.68922625649049,-468914.518058042,-395179.91452912305,-73731.39184164796,-468908.97565582534,513,0.0018344948766753078,True,2.8899291121373505,2.7344287814079733
L1,P00338,69523,9.0,1,-7.44585,,-63.50032710572672,-44.501145352951795,-468948.0822833317,-395179.91452912305,-73765.41411940467,-468944.53234267497,535,0.0019444138742983341,True,3.0005342117274245,2.7707319112982782
L1,P00338,69524,9.0,1,-7.53697,,-64.03995055202773,-41.311132354067624,-469983.6218413542,-395179.91452912305,-74800.93027713975,-469979.0709364712,489,0.001482272520661354,True,2.8614502876982995,2.985478296331423
L1,P00338,69525,9.0,1,-7.09597,,-76.3377505874531,-46.49101254180337,-466248.950723732,-395179.91452912305,-71065.7258764349,-466245.09951723693,662,0.0011564078740775585,True,2.8029134440549526,2.8295323943722703
L1,P00338,69526,9.0,1,-7.5511,,-88.7366654708467,-51.41447829440287,-468261.18154906185,-395179.91452912305,-73077.41903392725,-468256.8048654731,550,0.0019116919720545411,True,2.798159850296594,2.7955885896993133
L1,P00338,69527,7.6021,1,-5.93535,,-55.115042821146844,-19.92932547090189,-492905.10677227116,-395179.91452912305,-97722.80222868592,-492902.61100189335,390,0.0018731122836470604,True,2.718146929599568,2.559454860287305
