mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,2p4y,1,1,1,0.62158203125,-1,-813316.4606146469,-747967.5952721839,-65348.22234456172,-14.827883857855152,
1002,2p4y,2,1,1,0.62158203125,-1,-813314.4494656278,-747967.5952721839,-65347.92612013517,24.71921673497376,
1003,2p4y,3,1,1,0.62158203125,-1,-813316.6324307421,-747967.5952721839,-65347.99205661116,-24.100623438977046,
1004,2p4y,4,1,1,0.62158203125,-1,-813316.133486326,-747967.5952721839,-65348.14099763637,-9.160030229106077,
1005,2p4y,5,1,1,0.62158203125,-1,-813312.6181599452,-747967.5952721839,-65347.734838652665,62.539073243326634,
1006,2p4y,6,1,1,0.62158203125,-1,-813314.2285288824,-747967.5952721839,-65348.138501520436,34.71177021320933,
1007,2p4y,7,1,1,0.62158203125,-1,-813313.942343379,-747967.5952721839,-65347.91029344795,36.048761530922285,
1008,2p4y,8,1,1,0.62158203125,-1,-813313.9295333727,-747967.5952721839,-65347.99610909378,38.3231230984806,
1009,2p4y,9,1,1,0.62158203125,-1,-813312.2963304921,-747967.5952721839,-65348.080760586316,77.93778603670619,
1010,2p4y,10,1,1,0.62158203125,-1,-813315.8179998649,-747967.5952721839,-65347.99563329963,-5.236920844677253,
1011,2p4y,11,1,1,0.62158203125,-1,-813311.948610271,-747967.5952721839,-65348.218324007634,89.12869268527629,
1012,2p4y,12,1,1,0.62158203125,-1,-813310.3419652834,-747967.5952721839,-65344.54808032809,41.540976346326296,
1013,2p4y,13,1,1,0.62158203125,-1,-813294.8836422665,-747967.5952721839,-65347.957146822715,476.63331461533403,
1014,2p4y,14,1,1,0.62158203125,-1,-813266.048001687,-747967.5952721839,-65347.19789129792,1124.0901350793029,
1015,2p4y,15,1,1,0.62158203125,-1,-813245.5689873645,-747967.5952721839,-65348.243703994136,1620.4644380905127,
1016,2p4y,16,1,1,0.62158203125,-1,-813294.3869255736,-747967.5952721839,-65348.12845645403,492.03836761770185,
1017,2p4y,17,1,1,0.62158203125,-1,-813292.392248045,-747967.5952721839,-65347.88370085811,532.3925260465816,
1018,2p4y,18,1,1,0.62158203125,-1,-813267.9012584637,-747967.5952721839,-65348.13603322504,1102.9870853202149,
1019,2p4y,19,1,1,0.62158203125,-1,-813306.3783872674,-747967.5952721839,-65347.84589903353,208.99276275891063,
1020,2p4y,20,1,1,0.62158203125,-1,-813308.1661710098,-747967.5952721839,-65348.20753697602,176.10505932633401,
1021,2p4y,21,1,1,0.62158203125,-1,-813269.6351015524,-747967.5952721839,-65347.832481044585,1056.0036342679132,
1022,2p4y,22,1,1,0.62158203125,-1,-813281.6618092607,-747967.5952721839,-65348.03895904979,783.422661829114,
1023,2p4y,23,1,1,0.62158203125,-1,-813297.284519876,-747967.5952721839,-65348.30866080819,429.37386674110456,
1024,2p4y,24,1,1,0.62158203125,-1,-813293.8559034868,-747967.5952721839,-65347.65967333248,493.4736322512441,
1025,2p4y,25,1,1,0.62158203125,-1,-813271.2589658306,-747967.5952721839,-65347.90210525995,1020.1620069586924,
1026,2p4y,26,1,1,0.62158203125,-1,-813290.3351021509,-747967.5952721839,-65347.58537828473,572.9519553583269,
1027,2p4y,27,1,1,0.62158203125,-1,-813297.5031596968,-747967.5952721839,-65347.04746423958,395.2480289013384,
1028,2p4y,28,1,1,0.62158203125,-1,-813276.2422617777,-747967.5952721839,-65345.46397954529,849.0199577542567,
1029,2p4y,29,1,1,0.62158203125,-1,-813300.1078150377,-747967.5952721839,-65347.803360305035,352.614627202775,
1030,2p4y,30,1,1,0.62158203125,-1,-813311.9489114087,-747967.5952721839,-65347.982932490464,83.69349094471875,
1031,2p4y,31,1,1,0.62158203125,-1,-813313.2520272384,-747967.5952721839,-65347.25182515679,36.783190387348625,
1032,2p4y,32,1,1,0.62158203125,-1,-813314.5297379001,-747967.5952721839,-65347.77429395845,19.366899348892453,
1033,2p4y,33,1,1,0.62158203125,-1,-813313.2346352891,-747967.5952721839,-65347.65633468261,46.51246953436582,
1034,2p4y,34,1,1,0.62158203125,-1,-813307.7146804882,-747967.5952721839,-65346.34107207803,143.47497503927355,
1035,2p4y,35,1,1,0.62158203125,-1,-813313.942627261,-747967.5952721839,-65346.4987640932,3.4915748564171682,
1036,2p4y,36,1,1,0.62158203125,-1,-813311.9564494594,-747967.5952721839,-65347.53882824188,73.27837209828634,
1037,2p4y,37,1,1,0.62158203125,-1,-813308.1424065188,-747967.5952721839,-65348.086236271316,173.85582080417313,
1038,2p4y,38,1,1,0.62158203125,-1,-813308.2163162928,-747967.5952721839,-65347.7945117086,165.4240926947695,
1039,2p4y,39,1,1,0.62158203125,-1,-813313.6712003151,-747967.5952721839,-65345.74210352002,-7.698178414030617,
1040,2p4y,40,1,1,0.62158203125,-1,-813312.8021293088,-747967.5952721839,-65347.856640177946,61.10544883494647,
1041,2p4y,41,1,1,0.62158203125,-1,-813310.1816837444,-747967.5952721839,-65348.20636853134,129.59928653125084,
1042,2p4y,42,1,1,0.62158203125,-1,-813310.0958748413,-747967.5952721839,-65346.913114096205,101.75493108677854,
1043,2p4y,43,1,1,0.62158203125,-1,-813307.465619574,-747967.5952721839,-65348.444250055756,197.7188925171783,
1044,2p4y,44,1,1,0.62158203125,-1,-813309.6992615714,-747967.5952721839,-65347.83715299075,132.20989349326888,
1045,2p4y,45,1,1,0.62158203125,-1,-813306.3980236456,-747967.5952721839,-65347.70298524504,205.244266863499,
1046,2p4y,46,1,1,0.62158203125,-1,-813303.9645201219,-747967.5952721839,-65347.84054781793,264.53445955948325,
1047,2p4y,47,1,1,0.62158203125,-1,-813305.5924188445,-747967.5952721839,-65347.77955554722,225.58770802903504,
1048,2p4y,48,1,1,0.62158203125,-1,-813301.4460959389,-747967.5952721839,-65346.612065377885,294.2812228220146,
1049,2p4y,49,1,1,0.62158203125,-1,-813307.4001091674,-747967.5952721839,-65347.710370580906,182.305935648168,
1050,2p4y,50,1,1,0.62158203125,-1,-813311.1708577226,-747967.5952721839,-65348.22738417907,107.27302504333106,
1051,2p4y,51,1,1,0.62158203125,-1,-813303.5686114678,-747967.5952721839,-65347.73624341486,271.25901333771236,
1052,2p4y,52,1,1,0.62158203125,-1,-813312.8131875201,-747967.5952721839,-65347.99229868432,63.97879989866053,
1053,2p4y,53,1,1,0.62158203125,-1,-813301.3961933956,-747967.5952721839,-65347.83055507695,323.5310427952855,
1054,2p4y,54,1,1,0.62158203125,-1,-813302.149461071,-747967.5952721839,-65346.04442092886,264.9710455834248,
1055,2p4y,55,1,1,0.62158203125,-1,-813300.547734941,-747967.5952721839,-65347.4525781825,334.3806053163995,
1056,2p4y,56,1,1,0.62158203125,-1,-813296.6418926968,-747967.5952721839,-65347.74319392746,431.15322549370694,
1057,2p4y,57,1,1,0.62158203125,-1,-813307.3121489242,-747967.5952721839,-65347.95038980549,189.86932185304303,
1058,2p4y,58,1,1,0.62158203125,-1,-813289.5587572407,-747967.5952721839,-65347.51500237284,589.2319872122314,
1059,2p4y,59,1,1,0.62158203125,-1,-813301.8844165156,-747967.5952721839,-65347.636685497295,307.8016114702227,
1060,2p4y,60,1,1,0.62158203125,-1,-813303.0448080703,-747967.5952721839,-65345.91608743673,241.3644126478408,
