layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L1,P06239,15824,6.0,-3,-8.60385,,-54.27932464217794,-47.42170273531623,-570142.5830452663,-489577.1920215263,-80563.0372494481,-570138.6159101251,659,0.001943145995028317,True,2.9706521636110996,3.0327616181750656
L1,P06239,16292,8.684,-3,-9.57475,,-55.041282105983,-34.08003205418573,-529945.8370145223,-489577.1920215263,-40366.25817710116,-529944.0989552161,498,0.001567161874845624,True,2.8966502317714937,3.0490266463714293
L1,P06239,16940,6.2907,-3,-8.65182,,-78.83944681790595,-52.590302345350516,-556600.513472266,-489577.1920215263,-67019.90264874957,-556596.4995032992,575,0.001997763989493251,True,2.7551996869444575,2.8931749737113672
L1,P06239,18189,7.301,-3,-7.90557,,-70.07680215980322,-17.168123397383,-520680.7020732587,-489577.1920215263,-31100.471233978627,-520677.9898909122,898,0.0019262480782344937,True,2.6972753362593087,2.5811089703343395
L1,P06239,31540,7.301,-3,-8.14524,,-75.22394199837736,-8.732022615752598,-522602.2583961001,-489577.1920215263,-33021.8043557115,-522598.54394771904,529,0.00199354556389153,True,2.7742034421644037,2.6809335262839777
L1,P06239,43152,8.8239,-3,-8.06649,,-72.25989570611316,-39.776238455299925,-551115.0991428636,-489577.1920215263,-61534.77363568747,-551112.0560669933,637,0.001800235011614859,True,2.8363370454467907,2.9565526258004238
L1,P06239,72037,8.585,-3,-9.22569,,-73.08649856048262,-59.6266413175994,-533624.0600088625,-489577.1920215263,-44043.698656794,-533622.3632907743,687,0.0015204916708171368,True,2.758564987678121,2.7907288237700896
L1,P06239,72174,8.8239,-3,-8.2862,,-76.35442405475897,-55.358268171835796,-550679.3112436202,-489577.1920215263,-61098.80818088992,-550677.2033347415,530,0.001973985694348812,True,2.894552427642977,2.786452817521927
L1,P06239,102288,7.1249,-3,-8.48188,,-55.095329554850466,0.9494758235850457,-522381.74503409775,-489577.1920215263,-32802.16385295742,-522379.05936182867,352,0.001980283996090293,True,2.804071195652436,2.8003916921654017
L1,P06239,104832,7.301,-3,-8.89375,,-64.8519428300314,-17.671864602165606,-532748.7404674066,-489577.1920215263,-43168.73619947113,-532746.4840059864,1000,0.0887887179851532,False,2.699823692794,2.607876222637503
