layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L2,O14757,4906,7.5528,-4,-6.87559,,-56.73369512429919,-31.736589870197736,-524959.9823622839,-495659.98719986185,-29297.53495655262,-524957.2181669398,970,0.0019390726229175925,True,3.119508438824657,2.8622825925542013
L2,O14757,10681,7.2596,-4,-9.27592,,-67.47843590578695,-31.849200372097084,-534043.092195778,-495659.98719986185,-38380.1788539875,-534039.7671139234,455,0.0014903915580362082,True,2.765948993584406,3.0582284734842102
L2,O14757,55958,9.2218,-4,-6.75926,,-64.91886057250287,-25.56850594598417,-532279.9380997594,-495659.98719986185,-36617.135751660426,-532276.5826048418,771,0.0014022078830748796,True,2.934119340943485,2.7875048756987275
L2,O14757,60774,9.4949,-4,-7.16209,,-66.80014872483888,-31.985430684811604,-531685.1213351416,-495659.98719986185,-36022.237406667075,-531681.6458329991,691,0.001998989377170801,True,2.8411584343186984,2.754047213696872
L2,O14757,60923,7.8539,-4,-7.78914,,-63.692816981800775,-42.74225114437687,-529884.0258569996,-495659.98719986185,-34221.276675182664,-529881.9454940412,610,0.0016326638869941235,True,3.178587716402461,3.020638465002044
L2,O14757,64281,7.3979,-4,-7.27905,,-33.73917641422848,-26.474985842868403,-531361.2530742624,-495659.98719986185,-35699.8028052375,-531359.1678435738,486,0.0018507265485823154,True,2.8704689043922125,2.996921271014022
L2,O14757,72416,6.2596,-4,-7.96093,,-61.45349391969688,-28.93775607604591,-539279.4385748465,-495659.98719986185,-43616.78649926828,-539277.447022247,443,0.0019642177503556013,True,2.9766299096963915,3.0660997012585782
L2,O14757,111705,6.3335,-4,-7.5583,,-63.864533546465665,-40.748474067084146,-528663.5743199098,-495659.98719986185,-33000.81769175788,-528660.5534686752,965,0.0015724999830126762,True,3.324165444086337,2.9747546964668987
L2,O14757,124280,9.2218,-4,-8.3198,,-63.72212048550997,-24.302424799425797,-534815.0930581591,-495659.98719986185,-39152.34260562202,-534812.0639446243,878,0.0018199047772213817,True,2.9176721412472895,2.778515431082797
L2,O14757,126650,7.3768,-4,-7.93164,,-106.34754128255074,-41.851072675077894,-527535.6478798029,-495659.98719986185,-31871.04901407497,-527533.5065891086,609,0.0018728083232417703,True,2.803874954870066,2.5157733290396385
