mol_id,name,formal_charge,n_atoms,source_index,label,paff,smina_affinity_kcal_mol,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
23706,B4RNM9:23706,0,30,2.0,1.0,8.0,-8.02176,-50.89714437388791,-33907.848055170805,-33908.69127009245,-33909.42381041023,19.444998032109115,16.892781036067916,-14.55936530571088,466,133,5,0.0017510798061266541,True,,3.0
100013,B4RNM9:100013,0,35,6.0,1.0,8.0,-7.85963,-50.26002190155368,-39075.931249040535,-39077.96411582265,-39083.39151518875,46.87902166225999,125.1588026777565,121.7778024384628,583,77,7,0.001967670163139701,True,,56.0
4844,B4RNM9:4844,0,34,10.0,1.0,8.0,-9.10728,-30.52366061399389,-38044.10775451458,-38045.94532669185,-38047.41224523587,42.37542108610704,33.827945248032314,45.67970572014546,795,40,6,0.0018808786990121007,True,,37.0
97280,B4RNM9:97280,0,34,14.0,1.0,8.0,-8.26199,-62.124144552317794,-36468.01397791416,-36469.67454464772,-36471.97571358371,38.29357858521127,53.066216314775424,29.2356503476689,583,43,6,0.0019456654554232955,True,,30.0
93063,B4RNM9:93063,0,38,18.0,1.0,8.0,-8.77667,-17.115778597029063,-52450.2862217979,-52453.42074355887,-52453.82105364314,72.28378899497697,9.231369845495356,64.39938024344326,665,81,6,0.0019780881702899933,True,,46.0
33001,B4RNM9:33001,0,41,22.0,1.0,8.0,-8.98949,-52.27148911465505,-48343.77922067113,-48345.42767114494,-48346.63963494465,38.01417099772405,27.94854917217593,13.691231055244934,458,25,7,0.001866437727585435,True,,16.0
101058,B4RNM9:101058,0,43,26.0,1.0,8.0,-8.79971,-17.90037696986309,-48845.91893589287,-48848.76033132941,-48850.64516377198,65.524135370004,43.465268694605655,91.08902709474657,770,29,7,0.001844851765781641,True,,52.0
64450,B4RNM9:64450,0,43,30.0,1.0,8.0,-8.62418,-45.09748065380236,-48838.733435023045,-48840.839762687785,-48845.83454160554,48.573069859694925,115.18233813621364,118.6579273421062,1000,119,8,0.010859879665076733,False,,54.0
25490,B4RNM9:25490,0,37,34.0,1.0,8.0,-8.73187,-41.33631487462113,-39569.743542160635,-39572.16956464443,-39572.97017458553,55.94540752565686,18.462503840394945,33.071596491430675,666,160,7,0.0015886160545051098,True,,33.0
137428,B4RNM9:137428,0,41,38.0,1.0,8.0,-8.80907,-30.55556019105893,-46317.45550159374,-46319.445642427076,-46322.17884058414,45.89373787688094,63.029046831622125,78.36722451744413,982,88,7,0.0019967230036854744,True,,48.0
