layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L2,P36897,3771,6.4895,-1,-10.77962,,-80.4136129159118,-55.51829164098117,-608924.2774942459,-571696.404070091,-37224.386359861994,-608921.8044589873,335,0.0017909110756590962,True,3.0713386912957708,3.043433266785743
L2,P36897,32660,7.0,-1,-11.07051,,-62.994490208876684,-30.792642191873473,-608481.9006279913,-571696.404070091,-36782.764858260256,-608479.5108030954,533,0.0018191493581980467,True,2.8149501565779302,2.8201432967889257
L2,P36897,43953,7.3872,-1,-11.50626,,-82.31767675599698,-43.021877736420194,-608290.3936509758,-571696.404070091,-36590.41994856902,-608287.8438385664,339,0.0019323466112837195,True,2.9007863521289825,2.8185268247076913
L2,P36897,50724,8.1249,-1,-12.25355,,-81.64958316045073,-37.42048891297042,-616708.4713733454,-571696.404070091,-45008.526642218916,-616705.9266287113,492,0.0016498410841450095,True,3.076604137333983,3.0089357351573502
L2,P36897,77306,7.0264,-1,-9.93372,,-48.13099549717035,-30.58740769340641,-606337.2163866006,-571696.404070091,-34638.72515900366,-606335.9088122413,554,0.001966289710253477,True,2.9520695932377397,3.0505117869944827
L2,P36897,93720,7.301,-1,-9.28992,,-62.27693371362992,-39.62637277760214,-607476.0372479066,-571696.404070091,-35776.93259437017,-607474.1576827317,359,0.0018714977195486426,True,3.0053543108035865,2.9049565264115245
L2,P36897,102780,9.0,-1,-10.71468,,-78.96390165174036,-52.11818716047248,-625481.3911822003,-571696.404070091,-53781.56291324675,-625479.2932113936,389,0.0008022513356991112,True,2.941390957720642,2.9093305276544457
L2,P36897,105371,6.3468,-1,-10.94525,,-64.11364066167936,-29.360219534268285,-609551.5567484726,-571696.404070091,-37852.37244778468,-609549.2168819221,1000,0.005684632807970047,False,3.0534936873048726,2.902467307603582
L2,P36897,108760,7.6576,-1,-11.45037,,-76.03060333327579,-58.40737557385166,-610926.7517965513,-571696.404070091,-39227.0507274518,-610925.5171277808,528,0.0017102441051974893,True,3.0842326505436257,3.1539410539071357
L2,P36897,109621,7.9208,-1,-10.84134,,-60.652321553339846,-34.58419392035602,-600151.0355720094,-571696.404070091,-28452.00136832408,-600148.1531686472,392,0.0019315235549584031,True,2.8270498024829336,2.993736975992638
